"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","114","08 Создание POST /todos","chromium","Sat Nov 08 18:25:45 UTC 2025","passed","Sat Nov 08 18:25:45 UTC 2025","API challenge","","",""
"","33","21 Отредактировать существующее todo в системе без параметра title PUT /todos/{id}","chromium","Sat Nov 08 18:25:46 UTC 2025","passed","Sat Nov 08 18:25:46 UTC 2025","API challenge","","",""
"","68","02 Получить список заданий GET /challenges","chromium","Sat Nov 08 18:25:44 UTC 2025","passed","Sat Nov 08 18:25:45 UTC 2025","API challenge","","",""
"","35","11 Создание todo с title > 50 символов POST /todos","chromium","Sat Nov 08 18:25:45 UTC 2025","passed","Sat Nov 08 18:25:45 UTC 2025","API challenge","","",""
"","33","16 Отредактировать несуществующее todo в системе PUT /todos/{id}","chromium","Sat Nov 08 18:25:45 UTC 2025","passed","Sat Nov 08 18:25:46 UTC 2025","API challenge","","",""
"","33","20 Отредактировать существующее todo в системе частично PUT /todos/{id}","chromium","Sat Nov 08 18:25:46 UTC 2025","passed","Sat Nov 08 18:25:46 UTC 2025","API challenge","","",""
"","32","23 Удаление существующущего todo в системе DELETE /todos/{id}","chromium","Sat Nov 08 18:25:46 UTC 2025","passed","Sat Nov 08 18:25:46 UTC 2025","API challenge","","",""
"","38","24 Проверка доступных типов методов API /todos","chromium","Sat Nov 08 18:25:46 UTC 2025","passed","Sat Nov 08 18:25:46 UTC 2025","API challenge","","",""
"","35","12 Создание todo с description > 200 символов POST /todos","chromium","Sat Nov 08 18:25:45 UTC 2025","passed","Sat Nov 08 18:25:45 UTC 2025","API challenge","","",""
"","41","04 Получить список todo not plural GET /todo","chromium","Sat Nov 08 18:25:45 UTC 2025","passed","Sat Nov 08 18:25:45 UTC 2025","API challenge","","",""
"","35","25 Получить список todos в XML формате GET /todos","chromium","Sat Nov 08 18:25:46 UTC 2025","passed","Sat Nov 08 18:25:46 UTC 2025","API challenge","","",""
"","45","19 Отредактировать существующее todo в системе полностью PUT /todos/{id}","chromium","Sat Nov 08 18:25:46 UTC 2025","passed","Sat Nov 08 18:25:46 UTC 2025","API challenge","","",""
"","34","26 Получить список todos с JSON форматом GET /todos","chromium","Sat Nov 08 18:25:46 UTC 2025","passed","Sat Nov 08 18:25:46 UTC 2025","API challenge","","",""
"","33","22 Отредактировать существующее todo в системе PUT /todos/{id}","chromium","Sat Nov 08 18:25:46 UTC 2025","passed","Sat Nov 08 18:25:46 UTC 2025","API challenge","","",""
"","34","29 Получить список todos без Accept Header GET /todos","chromium","Sat Nov 08 18:25:46 UTC 2025","passed","Sat Nov 08 18:25:46 UTC 2025","API challenge","","",""
"","32","28 Получить список todos с XML pref форматом GET /todos","chromium","Sat Nov 08 18:25:46 UTC 2025","passed","Sat Nov 08 18:25:46 UTC 2025","API challenge","","",""
"","35","05 Получить информацию todos по ID GET /todos/{Id}","chromium","Sat Nov 08 18:25:45 UTC 2025","passed","Sat Nov 08 18:25:45 UTC 2025","API challenge","","",""
"","36","09 Получить информацию по todos со статусом Done GET /todos/{Id}","chromium","Sat Nov 08 18:25:45 UTC 2025","passed","Sat Nov 08 18:25:45 UTC 2025","API challenge","","",""
"","34","30 Получить список todos с неподдерживаемым Accept Header GET /todos","chromium","Sat Nov 08 18:25:46 UTC 2025","passed","Sat Nov 08 18:25:46 UTC 2025","API challenge","","",""
"","35","06 Получить информацию todos по несуществующему ID GET /todos/{Id}","chromium","Sat Nov 08 18:25:45 UTC 2025","passed","Sat Nov 08 18:25:45 UTC 2025","API challenge","","",""
"","35","13 Создание todo с максимальными значениями title и description POST /todos","chromium","Sat Nov 08 18:25:45 UTC 2025","passed","Sat Nov 08 18:25:45 UTC 2025","API challenge","","",""
"","4342","Добавление новой статьи","chromium","Sat Nov 08 18:25:46 UTC 2025","passed","Sat Nov 08 18:25:50 UTC 2025","Статьи пользователя","","",""
"","34","27 Получить список todos с Any форматом GET /todos","chromium","Sat Nov 08 18:25:46 UTC 2025","passed","Sat Nov 08 18:25:46 UTC 2025","API challenge","","",""
"","38","03 Получить список todos GET /todos","chromium","Sat Nov 08 18:25:45 UTC 2025","passed","Sat Nov 08 18:25:45 UTC 2025","API challenge","","",""
"","36","18 Обновление несуществующего todo POST /todos/{id}","chromium","Sat Nov 08 18:25:46 UTC 2025","passed","Sat Nov 08 18:25:46 UTC 2025","API challenge","","",""
"","5662","Изменение данных пользователя","chromium","Sat Nov 08 18:26:05 UTC 2025","passed","Sat Nov 08 18:26:11 UTC 2025","Профиль пользователя","","",""
"","46","15 Создание todo с дополнительным параметром priority POST /todos","chromium","Sat Nov 08 18:25:45 UTC 2025","passed","Sat Nov 08 18:25:45 UTC 2025","API challenge","","",""
"","3290","Проверка имени пользователя в профиле","chromium","Sat Nov 08 18:26:02 UTC 2025","passed","Sat Nov 08 18:26:05 UTC 2025","Профиль пользователя","","",""
"","42","10 Создание todo с параметром doneStatus содержащим недопустимое значение POST /todos","chromium","Sat Nov 08 18:25:45 UTC 2025","passed","Sat Nov 08 18:25:45 UTC 2025","API challenge","","",""
"","5068","Добавление комментария к статье","chromium","Sat Nov 08 18:25:57 UTC 2025","passed","Sat Nov 08 18:26:02 UTC 2025","Статьи пользователя","","",""
"","36","14 Создание todo с превышением максимального количества символов в названии POST /todos","chromium","Sat Nov 08 18:25:45 UTC 2025","passed","Sat Nov 08 18:25:45 UTC 2025","API challenge","","",""
"","36","17 Обновление существующего todo POST /todos/{id}","chromium","Sat Nov 08 18:25:46 UTC 2025","passed","Sat Nov 08 18:25:46 UTC 2025","API challenge","","",""
"","5214","Редактирование существующей статьи","chromium","Sat Nov 08 18:25:51 UTC 2025","passed","Sat Nov 08 18:25:57 UTC 2025","Статьи пользователя","","",""
"","38","07 Получить headers todos HEAD /todos","chromium","Sat Nov 08 18:25:45 UTC 2025","passed","Sat Nov 08 18:25:45 UTC 2025","API challenge","","",""
"","2795","Регистрация пользователя","chromium","Sat Nov 08 18:26:11 UTC 2025","passed","Sat Nov 08 18:26:13 UTC 2025","Регистрация","","",""
